Titulo,Classificacao,Ano
166. O Segredo dos Seus Olhos,2009,2009
"167. Jogos, Trapaças e Dois Canos Fumegantes",1998,1998
168. V de Vingança,2005,2005
169. Divertida Mente,2015,2015
170. Três Anúncios para um Crime,2017,2017
171. A Ponte do Rio Kwai,1957,1957
172. Trainspotting: Sem Limites,1996,1996
173. Prenda-Me se for Capaz,2002,2002
174. Touro Indomável,1980,1980
175. Robô Selvagem,2024,2024
176. Fargo: Uma Comédia de Erros,1996,1996
177. Guerreiro,2011,2011
178. Harry Potter e as Relíquias da Morte - Parte 2,2011,2011
179. Gran Torino,2008,2008
180. Menina de Ouro,2004,2004
181. Meu Amigo Totoro,1988,1988
182. Mad Max: Estrada da Fúria,2015,2015
183. Ben-Hur,1959,1959
184. Homem-Aranha: Sem Volta para Casa,2021,2021
185. Barry Lyndon,1975,1975
186. Sociedade dos Poetas Mortos,1989,1989
187. Filhos do Paraíso,1997,1997
188. 12 Anos de Escravidão,2013,2013
189. Antes do Amanhecer,1995,1995
190. O Grande Hotel Budapeste,2014,2014
191. Blade Runner: O Caçador de Andróides,1982,1982
192. Até o Último Homem,2016,2016
193. Garota Exemplar,2014,2014
194. Memórias de um Assassino,2003,2003
195. Ratatouille,2007,2007
196. Monstros S.A.,2001,2001
197. Em Nome do Pai,1993,1993
198. Como Treinar o Seu Dragão,2010,2010
199. Em Busca do Ouro,1925,1925
200. Relatos Selvagens,2014,2014
201. Bancando o Águia,1924,1924
202. Tubarão,1975,1975
203. Mary e Max - Uma Amizade Diferente,2009,2009
204. O Franco Atirador,1978,1978
205. Ford vs. Ferrari,2019,2019
206. A General,1926,1926
207. O Salário do Medo,1953,1953
208. Sindicato de Ladrões,1954,1954
209. A Mulher Faz o Homem,1939,1939
210. Morangos Silvestres,1957,1957
211. Logan,2017,2017
"212. Rocky, um Lutador",1976,1976
213. Ainda Estou Aqui,2024,2024
214. O 3º Homem,1949,1949
215. Era uma Vez em Tóquio,1953,1953
216. Spotlight: Segredos Revelados,2015,2015
217. O Grande Lebowski,1998,1998
218. O Exterminador do Futuro,1984,1984
219. O Mistério da Lixeira,2024,2024
220. O Sétimo Selo,1957,1957
221. Piratas do Caribe: A Maldição do Pérola Negra,2003,2003
222. O Quarto de Jack,2015,2015
223. O Ódio,1995,1995
224. Jai Bhim,2021,2021
225. Hotel Ruanda,2004,2004
226. Platoon,1986,1986
227. Antes do Pôr do Sol,2004,2004
228. Os Melhores Anos de Nossa Vida,1946,1946
229. O Exorcista,1973,1973
230. O Martírio de Joana D'Arc,1928,1928
231. O Mágico de Oz,1939,1939
232. A Noviça Rebelde,1965,1965
233. Os Incríveis,2004,2004
234. Sempre ao Seu Lado,2009,2009
235. Rush: No Limite da Emoção,2013,2013
236. Conta Comigo,1986,1986
237. Meu Pai e Meu Filho,2005,2005
238. Rede de Intrigas,1976,1976
239. O Gigante de Ferro,1999,1999
240. A Criada,2016,2016
241. Ser ou Não Ser,1942,1942
242. Pecadores,2025,2025
243. A Batalha de Argel,1966,1966
244. A Voz do Silêncio,2016,2016
245. As Vinhas da Ira,1940,1940
246. Na Natureza Selvagem,2007,2007
247. Feitiço do Tempo,1993,1993
248. Histórias Cruzadas,2011,2011
249. Amores Brutos,2000,2000
"250. Rebecca, a Mulher Inesquecível",1940,1940
