dt_notificacao;ano_notificacao;mes_notificacao;cd_municipio;município;CEP;qntd_casos;qntd_hospitalizacao;qntd_resultado_soro;qntd_resultado_ns1;qntd_resultado_pcr;qntd_auctone;qntd_febre;qntd_vomito;qntd_nausea;qntd_sangramento
01/02/2023;2023;2;355030;São Paulo;4195090;765;55;436;393;12;432;630;180;268;0
01/03/2023;2023;3;355030;São Paulo;4195090;2226;172;1052;1365;68;1352;1792;453;793;0
01/04/2023;2023;4;355030;São Paulo;4195090;3930;232;1651;2720;160;2680;3266;897;1511;0
01/05/2023;2023;5;355030;São Paulo;4195090;3731;221;1632;2498;124;2584;3109;779;1446;0
01/06/2023;2023;6;355030;São Paulo;4195090;1255;84;628;724;37;859;1007;262;430;0
01/07/2023;2023;7;355030;São Paulo;4195090;426;38;280;164;6;278;336;78;155;0
01/08/2023;2023;8;355030;São Paulo;4195090;380;44;270;138;1;240;286;67;111;0
01/09/2023;2023;9;355030;São Paulo;4195090;342;26;223;103;1;213;274;80;114;0
01/10/2023;2023;10;355030;São Paulo;4195090;402;29;292;116;1;236;312;101;146;0
01/11/2023;2023;11;355030;São Paulo;4195090;478;43;309;160;6;264;362;118;164;0
01/12/2023;2023;12;355030;São Paulo;4195090;1007;73;508;506;18;588;835;234;388;0
01/01/2024;2024;1;355030;São Paulo;4195090;7284;370;2888;4907;449;5098;6070;1798;3125;0
01/02/2024;2024;2;355030;São Paulo;4195090;37232;1098;12245;26373;558;25863;31132;9768;16536;0
01/03/2024;2024;3;355030;São Paulo;4195090;128008;3228;29047;94126;1185;92643;110960;35133;57970;0
01/04/2024;2024;4;355030;São Paulo;4195090;210423;5102;33014;118870;523;150450;185954;59665;102181;0
01/05/2024;2024;5;355030;São Paulo;4195090;199128;4501;37257;130644;232;145181;173691;54959;96832;0
01/06/2024;2024;6;355030;São Paulo;4195090;58226;1653;14687;36604;94;40371;47677;15954;27391;0
01/07/2024;2024;7;355030;São Paulo;4195090;15878;527;3644;9668;14;10647;12703;4245;6944;0
01/08/2024;2024;8;355030;São Paulo;4195090;6599;205;1279;4295;19;3914;5023;1563;2597;0
01/09/2024;2024;9;355030;São Paulo;4195090;925;28;215;492;0;314;715;221;331;0
